id,predictable_championship_best_ranked_group_id,predictable_championship_group_id,predictable_championship_stage_team_id,created_at,updated_at
1,1,23,86
1,1,24,82
1,1,21,88
1,1,22,84
1,2,23,86
1,2,21,82
1,2,22,88
1,2,25,84
1,3,23,86
1,3,21,82
1,3,22,88
1,3,26,84
1,4,24,86
1,4,21,82
1,4,22,88
1,4,25,84
1,5,24,86
1,5,21,82
1,5,22,88
1,5,26,84
1,6,25,86
1,6,21,82
1,6,22,88
1,6,26,84
1,7,23,86
1,7,24,82
1,7,21,88
1,7,25,84
1,8,23,86
1,8,24,82
1,8,21,88
1,8,26,84
1,9,23,86
1,9,21,82
1,9,26,88
1,9,25,84
1,10,24,86
1,10,21,82
1,10,26,88
1,10,25,84
1,11,23,86
1,11,24,82
1,11,22,88
1,11,25,84
1,12,23,86
1,12,24,82
1,12,22,88
1,12,26,84
1,13,25,86
1,13,23,82
1,13,22,88
1,13,26,84
1,14,25,86
1,14,24,82
1,14,22,88
1,14,26,84
1,15,23,86
1,15,24,82
1,15,25,88
1,15,26,84
